"","Symbol","Company Name","Trading Name","ISIN Code"
"80",1321,"East Pipes Integrated Company for Industry","EAST PIPES","SA15GH80KKH0"
"81",3080,"Eastern Province Cement Co.","EPCCO","SA0007879527"
"82",1303,"Electrical Industries Co.","EIC","SA13LG50KBH9"
"83",7203,"Elm Co.","ELM","SA15GG53GHH3"
"84",4220,"Emaar The Economic City","EMAAR EC","SA000A0KDVM8"
"85",7040,"Etihad Atheeb Telecommunication Co.","ATHEEB TELECOM","SA128G53E019"
"86",7020,"Etihad Etisalat Co.","ETIHAD ETISALAT","SA000A0DM9P2"
"87",4240,"Fawaz Abdulaziz Alhokair Co.","ALHOKAIR","SA000A0LB2R6"
"88",2180,"Filing and Packing Materials Manufacturing Co.","FIPCO","SA0007879352"
"89",4180,"Fitaihi Holding Group","FITAIHI GROUP","SA0007879832"
"90",8260,"Gulf General Cooperative Insurance Co.","GULF GENERAL","SA12CG541219"
"91",8120,"Gulf Union Alahlia Cooperative Insurance Co.","GULF UNION ALAHLIA","SA000A0MR898"
"92",3001,"Hail Cement Co.","HCC","SA12S051ESH9"
"93",6001,"Halwani Bros. Co.","HB","SA1230A2TOH3"
"94",6002,"Herfy Food Services Co.","HERFY FOODS","SA12GGPITP13"
"95",4250,"Jabal Omar Development Co.","JABAL OMAR","SA000A0MR864"
"96",4332,"Jadwa REIT Al Haramain Fund","JADWA REIT ALHARAMAIN","SA14A0523M59"
"97",4342,"Jadwa REIT Saudi Fund","JADWA REIT SAUDI","SA14GG523R59"
"98",4190,"Jarir Marketing Co.","JARIR","SA000A0BLA62"
"99",6090,"Jazan Energy and Development Co.","JAZADCO","SA0007879642"
"100",4280,"Kingdom Holding Co.","KINGDOM","SA31RG522S19"
"101",4310,"Knowledge Economic City","KEC","SA12IG523B16"
"102",4011,"Lazurde Company for Jewelry","LAZURDE","SA1430IHULH1"
"103",1830,"Leejam Sports Co.","FITNESS TIME","SA14K0Q0SJ16"
"104",1831,"Maharah Human Resources Co.","MAHARAH","SA14QH2GSJH8"
"105",4100,"Makkah Construction and Development Co.","MCDC","SA0007879659"
"106",8020,"Malath Cooperative Insurance Co.","MALATH INSURANCE","SA000A0MJ2J4"
"107",4346,"MEFIC REIT Fund","MEFIC REIT","SA14I0523T54"
"108",2001,"Methanol Chemicals Co.","CHEMANOL","SA124060V8H1"
"109",4009,"Middle East Healthcare Co.","SAUDI GERMAN HEALTH","SA141H01UKH9"
